name,store_id,월,화,수,목,금,토,일,영업구분
고메램 강남점,1299706278,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
고메램 강남점,1299706278,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
고메램 강남점,1299706278,14:30,14:30,14:30,14:30,14:30,,,브레이크타임시작1
고메램 강남점,1299706278,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
고메램 교대점,1903601237,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
고메램 교대점,1903601237,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
고메램 교대점,1903601237,14:30,14:30,14:30,14:30,14:30,14:30,14:30,브레이크타임시작1
고메램 교대점,1903601237,17:00,17:00,17:00,17:00,17:00,17:00,17:00,브레이크타임종료1
라무진 선릉역점,1448615379,16:00,16:00,16:00,16:00,16:00,16:00,16:00,오픈
라무진 선릉역점,1448615379,23:00,23:00,23:00,23:00,23:00,23:00,23:00,마감
고메램 삼성점,687685028,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
고메램 삼성점,687685028,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
고메램 삼성점,687685028,14:30,14:30,14:30,14:30,14:30,15:30,15:30,브레이크타임시작1
고메램 삼성점,687685028,17:00,17:00,17:00,17:00,17:00,17:00,17:00,브레이크타임종료1
김양,937124276,16:00,16:00,16:00,16:00,16:00,16:30,16:30,오픈
김양,937124276,05:30,05:30,05:30,05:30,05:30,05:00,05:00,마감
김양,937124276,04:30,04:30,04:30,04:30,04:30,04:00,04:00,라스트오더
징기스칸 슌,1627178297,17:00,17:00,17:00,17:00,17:00,17:00,17:00,오픈
징기스칸 슌,1627178297,23:00,23:00,23:00,23:00,23:00,22:00,22:00,마감
징기스칸 슌,1627178297,22:00,22:00,22:00,22:00,22:00,21:00,21:00,라스트오더
라무진 교대점,1448793701,17:00,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 일요일),오픈
라무진 교대점,1448793701,23:00,23:00,23:00,23:00,23:00,22:00,정기휴무 (매주 일요일),마감
양꽃 강남본점,1828224291,16:00,16:00,16:00,16:00,16:00,13:00,정기휴무 (매주 일요일),오픈
양꽃 강남본점,1828224291,22:30,22:30,22:30,22:30,22:30,22:00,정기휴무 (매주 일요일),마감
경성양꼬치 선릉직영점,36241245,14:00,14:00,14:00,14:00,14:00,14:00,14:00,오픈
경성양꼬치 선릉직영점,36241245,24:00,24:00,24:00,24:00,24:00,24:00,24:00,마감
경성양꼬치 선릉직영점,36241245,23:00,23:00,23:00,23:00,23:00,23:00,23:00,라스트오더
한성양꼬치 강남점,35407703,13:00,13:00,13:00,13:00,13:00,13:00,13:00,오픈
한성양꼬치 강남점,35407703,24:00,24:00,24:00,24:00,24:00,23:00,23:00,마감
미쓰양꼬치,34550276,14:00,14:00,14:00,14:00,14:00,14:00,정기휴무 (매주 일요일),오픈
미쓰양꼬치,34550276,23:20,23:20,23:20,23:20,23:20,23:20,정기휴무 (매주 일요일),마감
정통 한성 양갈비 양꼬치,35657854,12:00,12:00,12:00,12:00,12:00,12:00,12:00,오픈
정통 한성 양갈비 양꼬치,35657854,24:00,24:00,24:00,24:00,24:00,24:00,24:00,마감
이가네양꼬치 대치점,1630216914,13:00,13:00,13:00,13:00,13:00,13:00,13:00,오픈
이가네양꼬치 대치점,1630216914,01:00,01:00,01:00,01:00,01:00,01:00,01:00,마감
미성양꼬치 삼성점,37997450,14:00,14:00,14:00,14:00,14:00,14:00,정기휴무 (매주 일요일),오픈
미성양꼬치 삼성점,37997450,24:00,24:00,24:00,24:00,24:00,24:00,정기휴무 (매주 일요일),마감
무한숯불양꼬치훠궈&뷔페,991858885,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
무한숯불양꼬치훠궈&뷔페,991858885,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
윤가 양꼬치 훠궈 역삼점,379605792,10:00,10:00,10:00,10:00,10:00,15:00,15:00,오픈
윤가 양꼬치 훠궈 역삼점,379605792,24:00,24:00,24:00,24:00,24:00,24:00,24:00,마감
한성양꼬치 교대2호점,1225478882,12:00,12:00,12:00,12:00,12:00,12:00,12:00,오픈
한성양꼬치 교대2호점,1225478882,24:00,24:00,24:00,24:00,24:00,24:00,24:00,마감
양파이 강남점,1196729605,14:00,14:00,14:00,14:00,14:00,14:00,14:00,오픈
양파이 강남점,1196729605,23:00,23:00,23:00,23:00,23:00,23:00,23:00,마감
한성양꼬치,539185018,12:00,12:00,12:00,12:00,12:00,12:00,12:00,오픈
한성양꼬치,539185018,24:00,24:00,24:00,24:00,24:00,24:00,24:00,마감
이가네양꼬치 선릉역직영점,1295743805,12:00,12:00,12:00,12:00,12:00,12:00,정기휴무 (매주 일요일),오픈
이가네양꼬치 선릉역직영점,1295743805,24:00,24:00,24:00,24:00,24:00,24:00,정기휴무 (매주 일요일),마감
일품각 역삼동점,13109242,13:00,13:00,13:00,13:00,13:00,13:00,13:00,오픈
일품각 역삼동점,13109242,01:00,01:00,01:00,01:00,01:00,01:00,23:00,마감
이가네양꼬치 교대1호직영점,1453358113,12:00,12:00,12:00,12:00,12:00,12:00,12:00,오픈
이가네양꼬치 교대1호직영점,1453358113,23:30,23:30,23:30,23:30,23:30,23:00,23:00,마감
이가네양꼬치 교대1호직영점,1453358113,23:00,23:00,23:00,23:00,23:00,22:30,22:30,라스트오더
이가네양꼬치 선릉점,1519308537,12:00,12:00,12:00,12:00,12:00,12:00,12:00,오픈
이가네양꼬치 선릉점,1519308537,01:00,01:00,01:00,01:00,01:00,01:00,01:00,마감
이가네양꼬치 교대2호직영점,1111401166,12:00,12:00,12:00,12:00,12:00,12:00,12:00,오픈
