name,store_id,amenity
고갯마루,1086798306,단체 이용 가능
고갯마루,1086798306,포장
고갯마루,1086798306,예약
고갯마루,1086798306,주차
송계옥 교대점,1254742263,단체 이용 가능
송계옥 교대점,1254742263,예약
송계옥 교대점,1254742263,대기공간
송계옥 교대점,1254742263,주차
청춘닭볶이,32739228,남/녀 화장실 구분
청춘닭볶이,32739228,무선 인터넷
청춘닭볶이,32739228,포장
청춘닭볶이,32739228,배달
동경규동 강남점,1093474194,포장
동경규동 강남점,1093474194,배달
동경규동 강남점,1093474194,무선 인터넷
동경규동 서초점,1068077448,포장
동경규동 서초점,1068077448,남/녀 화장실 구분
동경규동 서초점,1068077448,무선 인터넷
동경규동 서초점,1068077448,배달
한솥도시락 르네상스호텔사거리점,37370527,예약
한솥도시락 르네상스호텔사거리점,37370527,포장
한솥도시락 르네상스호텔사거리점,37370527,배달
한솥도시락 르네상스호텔사거리점,37370527,무선 인터넷
한솥도시락 르네상스호텔사거리점,37370527,남/녀 화장실 구분
한솥도시락 르네상스호텔사거리점,37370527,간편결제
한솥도시락 르네상스호텔사거리점,37370527,주차
맛결,1717483948,주차
맛결,1717483948,포장
맛결,1717483948,배달
맛결,1717483948,예약
맛결,1717483948,무선 인터넷
카츠공방 교대점,1266173323,예약
카츠공방 교대점,1266173323,무선 인터넷
카츠공방 교대점,1266173323,포장
카츠공방 교대점,1266173323,남/녀 화장실 구분
카츠공방 교대점,1266173323,단체 이용 가능
카츠공방 교대점,1266173323,주차
미토요,1290274638,예약
미토요,1290274638,단체 이용 가능
미토요,1290274638,포장
미토요,1290274638,배달
미토요,1290274638,남/녀 화장실 구분
미토요,1290274638,무선 인터넷
삼백돈 돈가츠 역삼센터필드점,1675750729,주차
삼백돈 돈가츠 역삼센터필드점,1675750729,무선 인터넷
삼백돈 돈가츠 역삼센터필드점,1675750729,포장
삼백돈 돈가츠 역삼센터필드점,1675750729,남/녀 화장실 구분
정돈 강남점,1183428863,남/녀 화장실 구분
정돈 강남점,1183428863,단체 이용 가능
정돈 강남점,1183428863,무선 인터넷
정돈 강남점,1183428863,포장
정돈 강남점,1183428863,배달
정돈 강남점,1183428863,주차
정돈 강남점,1183428863,발렛파킹
카츠젠 선릉점,1239333634,무선 인터넷
카츠젠 선릉점,1239333634,포장
서울왕돈까스 서초교대점,1144534018,포장
서울왕돈까스 서초교대점,1144534018,무선 인터넷
고베규카츠 서울 강남점,254171411,무선 인터넷
고베규카츠 서울 강남점,254171411,남/녀 화장실 구분
고베규카츠 서울 강남점,254171411,포장
고베규카츠 서울 강남점,254171411,배달
고베규카츠 서울 강남점,254171411,예약
후레쉬빌 삼성역본점,37397766,주차
부엉이식당,1000937514,포장
부엉이식당,1000937514,배달
부엉이식당,1000937514,무선 인터넷
갓포돈,1608618357,예약
갓포돈,1608618357,포장
갓포돈,1608618357,남/녀 화장실 구분
가츠오,1652220988,무선 인터넷
가츠오,1652220988,남/녀 화장실 구분
가츠오,1652220988,주차
덴키카츠,1603397059,단체 이용 가능
덴키카츠,1603397059,무선 인터넷
덴키카츠,1603397059,남/녀 화장실 구분
덴키카츠,1603397059,예약
덴키카츠,1603397059,포장
덴키카츠,1603397059,배달
덴키카츠,1603397059,대기공간
